FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,103.97923062784554,376.39778387050001,,,0.0034755228299736562,0.00698965,838.09309653154423,776.93489713668828,1595.3899789004226,4568.4967641448975,,,,,651.45346384959987,34.3833,754.35150717420197,384.965,0.0,,0.068235247115215836,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,46.0006235781,,,,False
2,,8487.0857058885686,13332.056451427386,,,0.021064289810815973,0.00727778,10235.552631492748,15293.731094055176,1759.2726045127372,598.34665549278259,,,,,696.66969739256808,151.788,777.88956342452229,57.1974,0.0,,0.064662154704759944,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,777.22922388,,,,False
3,,16.543342329143407,68.797744127075219,,,0.0012241120714477753,0.00282533,718.00516780613953,1733.0659085083007,841.21532320368851,2084.6230718994143,,,,,651.53076094828657,77.3685,509.65453019632236,91.4424,0.0,,0.065497576836890767,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,16.231938875,,,,False
4,,1740.5689216780263,3737.0137655721037,,,0.01110267393109745,0.0182031,2211.3763357679518,754.18212009429931,3168.3536451661525,4257.0399483489991,,,,,644.83271036934968,22.0269,840.82766086629192,432.413,0.0,,0.069502346208008478,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,389.463493869,,,,False
5,,740.91352357418953,1916.0722052924677,,,0.0061549187591723982,0.00166181,751.1727159976989,208.52236368656159,7162.0617470160259,18312.938970336912,,,,,657.59649788754461,8.19501,615.71160031940076,255.367,0.0,,0.069710242527782476,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,266.713940952,,,,False
6,,12118.590135014971,97.143637964035904,,,0.55905421370219421,0.00240422,968.97591102662147,4.6362109208106999,999.81088539409404,4.7813805035501717,,,,,637.50975498191247,0.19569,604.65012871399358,0.201919,0.0,,0.07105035922324851,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,12080.3757586,,,,False
7,,34581.268056819827,119.68669340907303,,,1.5054122687490759,0.00277862,999.02567414432724,2.0672674325108527,1027.6411417338186,2.1284765610471368,,,,,631.43244811617672,0.0865779,600.48620604283178,0.0890305,0.0,,0.084487708691134034,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,34418.5515314,,,,False
8,,44669.343465232065,139.16350040819066,,,1.9097641548026993,0.00316754,1001.342879019973,1.8674413199722768,1043.9499725715516,1.9465799787640572,,,,,632.22249145344574,0.0779619,604.38575552291741,0.0812674,0.0,,0.097166434375931393,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,44430.3972507,,,,False
9,,45196.022804093293,128.62176513892589,,,1.9909470883259508,0.00301963,1005.544598027538,1.7127393149212002,1008.9550831953749,1.7174228236824274,,,,,643.47215162018449,0.0716195,603.07452721366906,0.0718636,0.0,,0.091321665358046006,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,45057.0130284,,,,False
10,,51294.817081283036,144.77684667746999,,,2.1365474043113544,0.00320326,1013.5781273639427,1.7131159557402134,1058.6109731836534,1.7908138642832636,,,,,625.75672095664868,0.0713312,599.02241483156433,0.0744413,0.0,,0.099489533923909801,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,50939.1439275,,,,False
11,,55078.583128089202,150.40618016033594,,,2.2889824151480225,0.00331742,1020.0699021838466,1.6681653409078718,1054.2486145328835,1.7265912920236588,,,,,626.33945285270636,0.0694032,595.77311832157432,0.0716656,0.0,,0.10316104208631154,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,54712.4010102,,,,False
12,,57523.175318810747,157.90854870684618,,,2.498254434240132,0.00365387,1009.9329120499398,1.6580274387449025,1018.9346431266312,1.6747082659229637,,,,,634.15631441634127,0.0693578,600.2223749132246,0.0699572,0.0,,0.11124627074586041,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,57275.6031706,,,,False
13,,60996.11218155556,156.44121771321761,,,2.7250167849430951,0.00373102,1023.6296599412254,1.5678693003952504,977.28848287837707,1.5005114906653763,,,,,639.52726491078033,0.0658258,595.81068513489822,0.0628314,0.0,,0.1120449443348584,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,60814.1396978,,,,False
14,,62260.809604323134,169.32572697533962,,,2.6288960366757053,0.00380581,1004.7505127183407,1.6347299442440271,1053.4545049777769,1.71600490976125,,,,,623.11558327800549,0.0682832,596.65940107231972,0.0715204,0.0,,0.11739095049116806,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,61817.5631398,,,,False
15,,61780.738867671047,167.21433882671988,,,2.549377817878562,0.00366182,1020.4246825903407,1.6541980720683933,1061.3792902437046,1.7227411506325006,,,,,623.26051011821164,0.0688052,594.44738757456264,0.0714774,0.0,,0.11422637901890116,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,61305.9852651,,,,False
