FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
0,,36133.053744055178,540.58768304892385,,,0.35051998668888468,0.00221648,2254.3256451014954,21.679756370186805,2043.6564865816747,19.533888835608959,,,,,656.31881429278565,0.421612,609.88998956021078,0.386593,0.0,,0.083731440012476996,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,30366.8867789,,,,False
1,,37846.420934468144,566.08811049784924,,,0.36159954085219154,0.00230077,2263.5693687387129,21.760163079500199,2066.501885329059,19.69458172917366,,,,,657.22310384713705,0.412976,608.89097523999362,0.382033,0.0,,0.084855331808425194,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,31676.5737831,,,,False
2,,37947.97421103908,503.31443783391234,,,0.3776175350227523,0.00210074,2220.8408515834876,19.007252673804761,2022.3283748777258,17.126212955117225,,,,,657.12776071422957,0.374615,607.56571130290422,0.344361,0.0,,0.080885968926220492,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,32206.9701408,,,,False
3,,35775.280896733129,469.3719495468772,,,0.36936056747576695,0.00200993,2182.245670149684,18.521525255441667,1983.6340396276387,16.653978000283242,,,,,656.85151312887012,0.379014,607.33447893554148,0.347193,0.0,,0.080457852152401546,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,30712.4605512,,,,False
4,,38624.493298652218,552.31178342776241,,,0.36717968267921441,0.00223824,2267.7944686911214,20.819777066409589,2073.0660070558979,18.890395379662515,,,,,658.06224731207112,0.392127,609.10769348228064,0.363949,0.0,,0.08189576872961031,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,32280.933207,,,,False
5,,42545.586657868407,539.29638157663169,,,0.42232246040581944,0.00224665,2225.573448506233,18.182086082696916,2023.0241862381354,16.389198394417765,,,,,657.31034136974449,0.35842,608.38742159206788,0.329238,0.0,,0.086427179832294795,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,36068.7957264,,,,False
6,,42870.701667489084,575.39166107190692,,,0.40839159364941241,0.00233436,2274.2127008783509,19.592933429181574,2062.934249577203,17.655042673051359,,,,,657.25701476413133,0.371372,609.00526693272025,0.340806,0.0,,0.08578320647456944,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,35847.7195165,,,,False
7,,39138.996333766416,534.10409090236271,,,0.38629941326498818,0.0022166,2244.6079246279569,19.732339059412478,2017.3340240499742,17.588568660914898,,,,,656.00761468358041,0.388541,607.72233220229157,0.350827,0.0,,0.084847619104752789,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,33116.0207185,,,,False
8,,38062.804839938733,506.81926586930905,,,0.37853786974340869,0.00211327,2221.1381299550044,19.097331836521626,2023.2453732425681,17.192369796037674,,,,,655.42147425768087,0.379375,608.28639493162189,0.348485,0.0,,0.081913429217252157,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,32259.5591665,,,,False
9,,42079.760607045631,527.66454730007661,,,0.42053996883848005,0.00220846,2221.3186523649424,17.971526261866092,2013.2040157072956,16.131819027364255,,,,,656.66737399316162,0.356874,607.72485496073318,0.325945,0.0,,0.085571919950358385,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,,35753.9863294,,,,False
