FileID,Filename,N K,Nerr K,Nth K,Nbec K,OD K,ODerr K,sx K,sxerr K,sy K,syerr K,rx K,rxerr K,ry K,ryerr K,mx K,mxerr K,my K,myerr K,T K,Terr K,sigma K,params K,dynamic {*},dynamic 2,dynamic 3,dynamic 4,user {*},Nsum,user2 {*},Omit,Remark,masked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,,4869.2851249887954,396.69157251921416,,,0.04724499864902796,0.00162186,2490.0194165971916,127.11698624610901,1849.8618687209789,98.797615849971777,,,,,654.35526743023809,2.76354,615.25789880536729,1.96954,0.0,,0.064474192017068888,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.2
",4053.01579483,,,,False
2,,7878.7034144740564,443.11071154103075,,,0.077656601649311971,0.00183645,2262.143184010079,81.416881874799728,2004.4210250883846,72.506705085039144,,,,,658.65904297268446,1.61303,610.82810190041664,1.44266,0.0,,0.070388971675716241,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"-0.1
",6660.01220771,,,,False
3,,9902.1965409940349,411.2035161371212,,,0.10027437805833814,0.0017349,2302.1432825509551,60.922419712543487,1917.08727330437,51.611993147134783,,,,,655.1868813842641,1.28138,611.44416196813268,1.0548,0.0,,0.069389124237485889,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0
",8421.15215975,,,,False
4,,14319.584286350002,512.52893616990491,,,0.13020192590761109,0.00202159,2380.598783087215,54.073028644323351,2064.7119137479767,47.266869281530383,,,,,656.9007748303618,0.996545,610.49394330302255,0.864746,0.0,,0.070515589275382068,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.1
",11773.6403163,,,,False
5,,18231.963497127232,367.96153145859597,,,0.20435722461915412,0.00168294,2137.8600336423315,27.867376039624215,1865.077348141981,24.288017671108246,,,,,654.55388222672968,0.629415,608.43253723401369,0.547045,0.0,,0.072834358254655562,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.2
",16002.9060771,,,,False
6,,22917.644553708818,380.17496331683577,,,0.2539623780831457,0.00172195,2141.2154745170719,22.916198877096175,1883.5315100370419,20.169786675274374,,,,,655.42827946595435,0.512541,609.95121435639987,0.451377,0.0,,0.074020904678579705,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.3
",20044.8638075,,,,False
7,,30985.041912069235,431.36149813363681,,,0.32695402008872193,0.00187695,2183.3956086788585,19.603334107697009,1939.8388055564963,17.376913965046406,,,,,655.74806381608471,0.416623,609.56489522799461,0.371481,0.0,,0.077343735887632825,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.4
",26733.2400255,,,,False
8,,41179.245089252239,507.89496233914502,,,0.41540732602958591,0.00213804,2227.4928462621638,17.681877895295621,1988.9349554654434,15.738940310776234,,,,,656.0800453643144,0.35878,609.55148001058251,0.322179,0.0,,0.084244424285284586,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.5
",35051.2458177,,,,False
9,,44993.325230670205,546.97474935437049,,,0.43391088933704847,0.00223475,2266.4384132992172,17.698814838230611,2044.7315043300196,15.875431771874428,,,,,656.21384697986571,0.342083,609.47391712272679,0.311469,0.0,,0.083736117050962816,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.6
",37749.7381232,,,,False
10,,36785.622667585187,515.60113413060787,,,0.36353817196573485,0.00214061,2226.1599663648603,20.117964704632758,2031.4418414690454,18.183198719322682,,,,,656.32988281322071,0.396744,609.02580741842542,0.366206,0.0,,0.082364576312807511,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.7
",31114.8206398,,,,False
11,,31377.316796230527,536.078480044922,,,0.29991982886388191,0.00217996,2274.0822019778025,24.970006831884383,2056.0663852950765,22.381592836976051,,,,,656.49417009964793,0.474811,608.01219380641373,0.432664,0.0,,0.080352440126254462,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.8
",26272.9072242,,,,False
12,,22716.35878971155,457.88381261935518,,,0.23877441074219902,0.00198712,2159.9608143324467,28.261761953830717,1968.5104938987363,25.349325844645499,,,,,653.49244656419262,0.595566,607.54717256689537,0.545056,0.0,,0.081732415462757127,"Gauss2d, QUIC, t_exp = 0.0ms, OD_max = 0.0",,,,,"0.9
",19570.8441206,,,,False
